degree,n1,n2,r1,r2,exponent,factor_count,filter_complete,filter_tested,filter_passed,filter_failed,subset_tests,singular_subsets,minimum_rank_defect
2,2,1,3,1,3,1,True,1,1,0,0,0,0
4,2,2,3,5,15,2,True,2,2,0,1,0,0
4,4,1,5,1,5,1,True,1,1,0,0,0,0
4,4,1,5,3,15,2,True,2,2,0,1,0,0
6,2,3,3,7,21,2,True,2,2,0,1,0,0
6,6,1,7,3,21,2,True,2,0,2,0,0,0
6,6,1,7,9,63,6,True,6,0,6,0,0,0
6,6,1,9,1,9,1,True,1,1,0,0,0,0
6,6,1,9,7,63,6,True,6,6,0,15,0,0
8,2,4,3,17,51,4,True,4,4,0,6,0,0
8,2,4,3,85,255,16,True,16,16,0,120,0,0
8,4,2,5,17,85,8,True,8,8,0,28,0,0
8,4,2,5,51,255,16,True,16,16,0,120,0,0
8,8,1,15,17,255,16,True,16,0,16,0,0,0
10,2,5,3,11,33,2,True,2,2,0,1,0,0
10,2,5,3,31,93,6,True,6,6,0,15,0,0
10,2,5,3,341,1023,60,True,60,60,0,1770,0,0
10,10,1,11,1,11,1,True,1,1,0,0,0,0
10,10,1,11,3,33,2,True,2,2,0,1,0,0
10,10,1,11,31,341,30,True,30,30,0,435,0,0
10,10,1,11,93,1023,60,True,60,60,0,1770,0,0
12,2,6,3,13,39,2,True,2,2,0,1,0,0
12,2,6,3,35,105,4,True,4,4,0,6,0,0
12,2,6,3,65,195,8,True,8,8,0,28,0,0
12,2,6,3,91,273,12,True,12,12,0,66,0,0
12,2,6,3,455,1365,48,True,48,48,0,1128,0,0
12,3,4,5,7,35,2,True,2,0,2,0,0,0
12,3,4,5,9,45,2,True,2,0,2,0,0,0
12,3,4,5,13,65,4,True,4,0,4,0,0,0
12,3,4,5,21,105,4,True,4,0,4,0,0,0
12,3,4,5,39,195,8,True,8,0,8,0,0,0
12,3,4,5,63,315,12,True,12,0,12,0,0,0
12,3,4,5,91,455,24,True,24,0,24,0,0,0
12,3,4,5,117,585,24,True,24,16,8,3,1,1
